Datum	Lokacija	Organizator / Izvođač	Aktivnost (Naziv i kratak opis događaja)	Linkovi	Kategorija
27.05.2011.	Arsenal Zadar	valjda Arsenal ?	TRIBUTE TO AZRA-ATOMSKI SAT                                                         27.svibnja u Arsenalu grupa Atomski sat održala već nekoliko puta repertoarno isti koncert „Tribute to Azra“. Zadarska grupa Atomski sat su: Marko Nakić - Njake (vokal, ritam gitara), Mate Olić (solo gitara), Goran Sudar (bas gitara), Ivo Frleta (bubnjevi).	http://www.zadarskilist.hr/clanci/26052011/veceras-tribute-to-azra http://www.zadarskilist.hr/clanci/25052011/zadovoljstina-uz-atomski-sat http://www.tzzadar.hr/hr/dogadanja/koncerti/02-05-2011/tribute-to-azra  	Glazba
27.05.2011.	Studentski klub 'Božo Lerotić' Zadar	Šigureca	4. ZADARSKA GITARIJADA                                                                           Završni koncert Gitarijade 'Mixofonija'                                                      27. svibnja održan završni koncert Gitarijade – Mixofonijau organizaciji udruge Šigureca. Specijalni gosti su rock četvorka iz Zagreba „She Loves Pablo“.	http://www.znet.hr/2011/05/4-kvalifikacijska-vecer-zadarske-gitarijade-mixofonija/ http://www.muzika.hr/kalendar/dogadjanje/31535/mixofonija-zadarska-gitarijada-2011-she-loves-pablo-the-gofine-old-skull-bubbles-just-fine-copor-oz.aspx 	Glazba
07.06.2011.	HNK Zadar	Zadarski plesni ansambl	„VEČERAS PLEŠEMO“                                                                                           7. lipnja polaznici Plesnog studija  Zadarskog plesnog ansambla povodom završetka plesne godine izveli su plesni kolaž pod nazivom „Večeras plešemo“ pod vodstvom pedagoga i koreografa: Sanje Petrovski, Lare Stanin, Martine Ružić, Stošije Zrinski, Tee Kulaš i Stelle Rončević	http://www.ezadar.hr/clanak/morska-arija-i-divlja-dzungla-zadarskog-plesnog-ansambla http://www.zadarskilist.hr/clanci/07062011/rasplesano-kazaliste  	Plesna predstava
10. - 11.06.2011.	DHM Zadar	udruga FISTT u suradnji s Revijom amaterskog filma	FESTIVAL AMATERSKE KULTURE I KREATIVNOSTI                                   10 i 11 lipnja održao se FAKK kao rezultat inicijativa i ideja nekolicine zadarskih pojedinaca u suradnji s Revijom amaterskog filma i njihovog programa „R.A.F. putuje“ i udruge FISTT. U prostorijama zgrade Dhm-a održao se  Hand made sajam i kreativna radionica ručnog uveza i stencil arta pod vodstvom Bojana Kanižaja te bubnjarska radionica  Marka Borića. Prikazali su se i amaterski filmovi sa 10. RAF-a „Best of“ selekcija te održao Chillum – Far Out Sessions i koncert King Shango Soundsystem & Mc Big Oz.	http://www.zadarskilist.hr/clanci/11062011/zapoceo-festival-amaterske-kulture-i-kreativnosti http://www.znet.hr/2011/06/festival-amaterske-kulture-i-kreativnosti/ http://www.ezadar.hr/clanak/fakk-hand-made-sajam-u-duhu-kreativne-slobode http://www.ezadar.hr/clanak/sajam-bubnjevi-i-zavrsni-party-ovogodisnjeg-fakk-a 	Kreativna radionica, amaterski filmovi… ??
14.06.2011.	HNK Zadar	Zadarski plesni ansambl 	ZPA IZVEO PREDSTAVU 'TROPICAL SOCIETY'                                              U HNK Zadar Zadarski plesni ansambl prezentirao je predstavu „Tropical Society“ koreografkinje Stošije Zrinski i Ines Blažević. U sklopu predstave izveden je i „Lizard Solo“	http://www.tzzadar.hr/hr/dogadanja/kazaliste/13-06-2011/zadarski-plesni-ansambl-tropical-society http://www.ezadar.hr/clanak/zadarski-plesni-ansambl-tropical-society  	Plesna predstava
23. - 29.06.2011.	galerija ZadArt	ZadArt / umjetnici Dino Dević i Goran Knežević	OTVORENA IZLOŽBA DINA DEVIĆA I GORANA KNEŽEVIĆA                   U prostorijama ZadArta otvorena je izložba dvojice umjetnika iz Zadara- Dina Devića i Gorana Kneževića. Izložba nosi naziv „Slavni“ a objedinjuje portrete poznatih osoba. Dević stvara crteže hiperrealizma u olovci, a Knežević je oduševio na svjetskoj razini izrađujući portrete od željeza.	http://www.ezadar.hr/clanak/slavni-fuzija-portreta-u-galeriji-zadart-a http://www.zadarskilist.hr/clanci/24062011/porteti-slavnih--zeljezom-i-olovkom  	Slikarstvo
23. - 25.06.2011.	park Kapetanski	Udruga Šigureca, Studentski  zbor Sveučilišta u Zadru i osječka agencija Miga	JUMF FESTIVAL                                                                                              Glazbeni festival JUMF  se tri dana održavao na Kapetanskom u  zajedničkoj organizaciji  Udruge Šigureca, Studentskog  zbora Sveučilišta u Zadru i osječke agencije Miga.  Gosti festivala su bili Psihomodopop, Partibrekejrsi, Kawasaki 3P, Let 3, Dubioza kolektiv, te demo bendovi Rewolt, Apel fenomen i E.N.D., ali i Postolar Tripperi i Sexymotherfuckersi.	http://www.muzika.hr/clanak/31777/najave/prvi-jumf-festival-u-zadru.aspx http://www.voxportal.hr/fotogalerija/jumf-festival-23062011/296.html http://www.ezadar.hr/clanak/jumf-jader-urban-music-festival-23-do-25-lipnja-u-kapetanskom-parku http://www.zadarskilist.hr/clanci/24062011/booyroom-na-jumf-festival http://www.gitare.info/page.php?id=19019 http://www.057info.hr/zabava/2011-06-28/sigureca-zadar-je-dobio-urbani-festival-kakav-do-sada-nije-iskusio 	Glazba
26.06.2011.	Narodni trg Zadar	Plesna udruga 'U pokretu' u suradnji s  Udrugom apstinenata za pomoć pri resocijalizaciji Porat iz Zadra, Narodnim Sveučilištem Dubrave Zagreb i Domom kulture Služewsky iz Varšave, Poljska. Projekt promiče i internacionalnu suradnju te edukativni i volonterski aspekt. Pokrovitelji projekta su Grad Zadar, Zadarska Županija, Arsenal Zadar i Maraschino bar	PROJEKT „URBAN JAM 023“                                                                 26.lipnja na Narodnom trgu, povodom Međunarodnog dana borbe protiv ovisnosti predstavili su se članovi lokalnih plesnih skupina. Dio je to projekta „Urban Jam 023- hip hop a ne dop“. Bila je to prilika za prezentaciju naučenog na plesnim radionicama koje su se odvijale od 16. do 25. lipnja u osam raznih stilova urbanih plesova u plesnoj dvorani Plesne udruge In Flux na Ravnicama, koje su vodili plesači Sonic crew-a iz Varšave i pobjednici Battle time-a u Zagrebu.                                                                                                                            Program: 26.06. s početkom u 20.00 sati zabilježavamo međunarodni dan borbe protiv ovisnosti u sklopu programa Turističke zajednice grada Zadra na Narodnom Trgu. Program sačinjavaju plesne i glazbene izvedbe lokalnih plesnih skupina i glazbenih izvođača, plesno natjecanje za juniorsku kategortiju u stilovima hip hop i breakdance, kao i prikaz radionica učenika i voditelja.  27.6. u prijepodnevnim satima na Narodnom trgu, održava se plesni program u sklopu rada udruge Porat, Službom za prevenciju i izvanbolničko liječenje ovisnosti Zadar i Obiteljskog centra Zadarske županije. 09. i 10.07. održava se drugi dio projekta sa plesnim natjecanjima u kategorijama Hip hop parovi, kao i Breakdance crew i Breakdance pojedinci u Maraschino bar-u i Arsenalu u Zadru, nastupima Hip hop izvođača, te oslikavanje plesne dvorane Udruge IN FLUX sa grafitima. Program prati DJ Chill, najpopularniji hip hop DJ u Hrvatskoj. Na svim natjecanjima nazočni su iskusni i visoko kotirani inozemni i domaći suci. Pobjednicima se uručuju novčane nagrade 	http://www.ezadar.hr/clanak/pocele-pripreme-za-urban-jam-023-hip-hop-a-ne-dop http://www.ezadar.hr/clanak/veceras-urban-jam-023-hip-hop-a-ne-dop-na-narodnom-trgu http://www.057info.hr/vijesti/2011-06-26/veceras-urban-jam-023-hip-hop-a-ne-dop-na-narodnom-trgu http://www.057info.hr/zabava/2011-06-14/hip-hop-a-ne-dop-cetvro-izdanje http://www.zadarskilist.hr/clanci/17062011/glazbom-i-plesom--protiv-ovisnosti http://www.zadarskilist.hr/clanci/27062011/mani-dop-probaj-hip-hop http://www.voxportal.hr/vijest/plesom-i-glazbom-protiv-ovisnosti/11080.html 	Ples (hip-hop, breakdance)
26.06.2011.	Narodni trg Zadar		U SKLOPU PROJEKTA „URBAN JAM 023“ 26.lipnja na Narodnom trgu, povodom Međunarodnog dana borbe protiv ovisnosti, a u sklopu programa Turističke zajednice grada Zadra predstavili su se članovi lokalnih plesnih skupina. Dio je to projekta „Urban Jam 023- hip hop a ne dop“. Bila je to prilika za prezentaciju naučenog na plesnim radionicama koje su se odvijale od 16. do 25. lipnja u osam raznih stilova urbanih plesova u plesnoj dvorani Plesne udruge In Flux na Ravnicama, koje su vodili plesači Sonic crew-a iz Varšave i pobjednici Battle time-a u Zagrebu.                                                                                                                            Program: 26.06. s početkom u 20.00 sati zabilježavamo međunarodni dan borbe protiv ovisnosti u sklopu programa Turističke zajednice grada Zadra na Narodnom Trgu. Program sačinjavaju plesne i glazbene izvedbe lokalnih plesnih skupina i glazbenih izvođača, plesno natjecanje za juniorsku kategortiju u stilovima hip hop i breakdance, kao i prikaz radionica učenika i voditelja.  27.6. u prijepodnevnim satima na Narodnom trgu, održava se plesni program u sklopu rada udruge Porat, Službom za prevenciju i izvanbolničko liječenje ovisnosti Zadar i Obiteljskog centra Zadarske županije. 09. i 10.07. održava se drugi dio projekta sa plesnim natjecanjima u kategorijama Hip hop parovi, kao i Breakdance crew i Breakdance pojedinci u Maraschino bar-u i Arsenalu u Zadru, nastupima Hip hop izvođača, te oslikavanje plesne dvorane Udruge IN FLUX sa grafitima. Program prati DJ Chill, najpopularniji hip hop DJ u Hrvatskoj. Na svim natjecanjima nazočni su iskusni i visoko kotirani inozemni i domaći suci. Pobjednicima se uručuju novčane nagrade 		
26.06.2011.	Narodni trg Zadar		U SKLOPU PROJEKTA „URBAN JAM 023“ 26.lipnja na Narodnom trgu, povodom Međunarodnog dana borbe protiv ovisnosti, a u sklopu programa Turističke zajednice grada Zadra predstavili su se članovi lokalnih plesnih skupina. Dio je to projekta „Urban Jam 023- hip hop a ne dop“. Bila je to prilika za prezentaciju naučenog na plesnim radionicama koje su se odvijale od 16. do 25. lipnja u osam raznih stilova urbanih plesova u plesnoj dvorani Plesne udruge In Flux na Ravnicama, koje su vodili plesači Sonic crew-a iz Varšave i pobjednici Battle time-a u Zagrebu.                                                                                                                            Program: 26.06. s početkom u 20.00 sati zabilježavamo međunarodni dan borbe protiv ovisnosti u sklopu programa Turističke zajednice grada Zadra na Narodnom Trgu. Program sačinjavaju plesne i glazbene izvedbe lokalnih plesnih skupina i glazbenih izvođača, plesno natjecanje za juniorsku kategortiju u stilovima hip hop i breakdance, kao i prikaz radionica učenika i voditelja.  27.6. u prijepodnevnim satima na Narodnom trgu, održava se plesni program u sklopu rada udruge Porat, Službom za prevenciju i izvanbolničko liječenje ovisnosti Zadar i Obiteljskog centra Zadarske županije. 09. i 10.07. održava se drugi dio projekta sa plesnim natjecanjima u kategorijama Hip hop parovi, kao i Breakdance crew i Breakdance pojedinci u Maraschino bar-u i Arsenalu u Zadru, nastupima Hip hop izvođača, te oslikavanje plesne dvorane Udruge IN FLUX sa grafitima. Program prati DJ Chill, najpopularniji hip hop DJ u Hrvatskoj.  		
01.07.2011.	galerija ZadArt	udruga ZadArt / klub 'CroArtPhoto' 	IZLOŽBA CROARTPHOTO                                                                           Fotogrupa „ZADART“ ugostila je 1. srpnja fotografe „CroArtPhoto“ kluba iz Zagreba, a među njima i nekoliko vrhunskih imena hrvatske fotografije (Pervan, Senčar, Klarica, Braut, Mavar, Reberša). Na izložbi sudjeluju i Bonačić i Vulić, a kao rezultat izložbe bit će i uzvratna izložba „Zadarart“ fotogrupe u Zagrebu krajem godine, gdje će se  prezentirati kultura i ljepote zadarske županije kroz objektive zadarskih fotografa. Fotografije izlažu: Željko Krčadinac, Željko Novaković, Vesna Špoljar, Branka Primorac, Robert Ravnić, Ognjen Karabegović, Aleksandar Bonačić, Goran Vogrin, Vlasta Štalekar, Nenad Reberšak, Ivan Balić Cobra, Ivica Trubić, Miljenko Vojta, Vladimir Šimunić, Andrea Solar, Vesna Đukić, Tomislav Dolovčak, Sanja Orozović, Sabina Kaštelančić, Ante Kostanjki, Luka Marotti, Jerolim Vulić, Livio Andrijić, Marija Braut, Radiša Mladenović, Ivo Pervan, Josip Klarica. 	http://www.ezadar.hr/clanak/vrsni-fotografi-izlazu-u-galeriji-zadart http://www.zadarskilist.hr/clanci/02072011/legende-hrvatske--fotografije-u-zadru  	Fotografija
06.07.2011.	caffe bar Zodiak	Šigureca	FLASHBACK JUMF PARTY U ZODIAKU                                                     Udruga Šigureca je tjedan dana  nakon uspješnog trodnevnog festivala organizirala tematsku slušaonicu svih bendova koji su nastupili na festivalu te video projekcije njihovih live nastupa.	http://www.ezadar.hr/clanak/jumf-flashback-party-6-srpnja-u-caffe-baru-zodiac	Multimedija ?
08.07.2011.	klub Boogaloo Zagreb		TRN U OKU U BOOGALOO U                                                                      8.srpnja nastupit će u Zagrebačkom Boogaloo klubu kao predgrupa bendu Anti Nowhere League.	http://www.voxportal.hr/vijest/trn-u-oku-nastupa-u-zagrebackom-klubu-boogaloo/11818.html	Glazba (punk koncert)
16.07.2011.	Atrij Kneževe palače	Dragon teatar	PUBLICI PREMIJERNO PREDSTAVLJENI 'ANĐELI BABILONA' 16.07.2011. zadarskoj publici Dragon Teatar je premijerno prikazao predstavu „Anđeli Babilona“ autora Mate Matišića. Nepismeni gradonačelnik bio je dobar temelj za nasmijati publiku a uloge tumače: Milan Stošić –Miočić, Matija Kezele, Miro Pucar, Marija Kolb i Mimi Zadarski.Režiju potpisuje Maja Šimić,  dizajn zvuka Tihomir Franov, scenografiju Marija Jevtić.   Gostovanja Dragon teatra po našoj županiji nastavljaju se i u kolovozu - "Anđeli Babilona" su 12. kolovoza predstavljeni u Karinu, 14. u Svetom Filip i Jakovu, 15. na Silbi, 18. na Pašmanu i 23. na Tkonu     	http://www.zadarskilist.hr/clanci/27072011/buza-u-salima http://www.zadarskilist.hr/clanci/23072011/u-nedjelju-andeli-babilona-utorak-buza	Kazališna predstava
18.07.2011.	Atrij Kneževe palače	Dragon teatar	PREDSTAVA 'BUŽA'  osim u  Zadru gostuje u Zadarskoj županiji, pa je  6. kolovoza "Buža" gostovalau Kalima, 7. na Ižu, 9. na Ugljanu		
22.07.2011.	galerija ZadArt	udruga ZadArt	HRVATSKA IZ ZRAKA                                                                                   Udruga ZadArt ugostila je Nenada Reberšaka i njegovu izložbu „Hrvatska iz zraka“. Autor je izložio pedesetak fotografija Republike Hrvatske iz zraka koje su samo isječci iz kolekcije koju je, kako kaže stvarao sedam godina. Više od 30 godina se bavi fotografijom, a dobitnik je i mnogih nagrada na državnoj i međunarodnoj razini.	http://www.ezadar.hr/clanak/otvorenje-izlozbe-nenada-rebersaka-u-galeriji-zadart http://www.ezadar.hr/clanak/hrvatska-iz-zracne-perspektive-nenada-rebersaka  	Fotografija
01. - 20.08.2011.	Gradska knjižnica Zadar	Fotografska udruga Fotogard 	IZLOŽBA SKUPINE FOTOGARD                                                                           U Gradskoj knjžnici Zadar, od 01. do 20. kolovoza  Fotogard predstavlja izložbene radove svojih članova. Uz druženje i obavezne razgovore o fotografiji, za svoje članove uskoro će početi organizirati predavanja velikih hrvatskih fotografa.	http://www.zadarskilist.hr/clanci/09082011/drazevic-u-zadru-se-cijeni-razvikano-ime-a-ne-autorski-rad  	Fotografija
					
08.08.2011.	Ul. Borelli 3, Zadar	Zadar snova	MEĐUNARODNI FESTIVAL ZADAR SNOVA (08. -14.08.2011.)  Čehov: Tri sestre, I. čin Doručak u 12  (koreodrama, radionica) Red. Kor. Jasna Frankić Brkljačić                                                                    08.08. u starinskom dvorištu ispred galerije Morsky  službeno je započela manifestacija „Zadar snova“. Prvi u nizu projekta je koreodrama „Tri sestre“ prema djelu A.P: Čehova u režiji i koreografiji Jasne Frankić Brkljačić. Kostimografiju potpisuje Maja Šarić ban, svjetlo Ivo Nižić. 	http://www.ezadar.hr/clanak/veceras-na-zadru-snova-mini-teater-i-kazaliste-bulic http://www.057info.hr/kultura/2011-08-01/zadar-snova-otvara-zadarska-nezavisna-scena-koja-jos-sanja-svoje-mjesto-u-gradu http://www.ezadar.hr/clanak/doruckom-u-12-zapoceo-zadar-snova http://www.voxportal.hr/vijest/manifestacija-zapocela-prvim-cinom-koreodrame-tri-sestre/13768.html http://www.znet.hr/2011/08/tri-sestre-otvaraju-zadar-snova/ 	Kazališna predstava
08.08.2011.	Sv. Dominik	Zadar snova	MEĐUNARODNI FESTIVAL ZADAR SNOVA (08. -14.08.2011.)             U biti, Zadar, Hrvatska:  Decipula (crossover, premijera) Red. Vjerica Vidov │ Aut. Perf. Iva Burčul, Marta Musap, Vedran Miočić Stošić – Gumeni                                                                                 Ubrzo nakon  premijere na Zadru snova  prikazana je i prva repriza  zadarske predstave "Decipula". Predstava traje svega 30  minuta, a svojevrsni je kolaž  glazbe, plesa i efekata. Troje  umjetnika: Iva Burčul  (ples), Marta Musap (glas) i  Vedran Miočić Stošić-Gumeni, kreću u istraživanje  onih zajedničkih, univerzalnih mjesta koja kopkaju suvremenog čovjeka. 	http://www.ezadar.hr/clanak/decipula-premijerno-na-zadru-snova http://www.ezadar.hr/clanak/sv-dominik-decipula http://www.voxportal.hr/vijest/decipula--glazbeno--scenski-performans-koji-spaja-nespojivo/13686.html http://www.zadarskilist.hr/clanci/20092011/vjera-vidov-u-decipulu-sam-pretocila-svoje-emocije http://www.zadarskilist.hr/clanci/16092011/predstava-razumljiva-svakom-gledatelju 	Novomedijska predstava
08.08.2011.	Sv. Donat	Zadar snova	MEĐUNARODNI FESTIVAL ZADAR SNOVA (08. -14.08.2011.) Zadarski plesni ansambl, Zadar, Hrvatska: Tri Marije hojěhu  (suvremeni ples) Kor. Sanja Petrovski │Perf. Martina Ružić, Nikolina Dolfić, Tea Kulaš, Stella Rončević, Sanja Petrovski Inspiraciju novoj plesnoj priči, koreografkinja i autorica Sanja Petrovski pronalazi u pjesmi „Tri Marije Hojehu“ zabilježenoj na zadrskom području u 16.stoljeću. Plesno oslikavanje starohrvatskog pisma autorica bazira na Labanovoj metodi suvremenog plesa. Predstavom se obilježava 20 godina postojanja ansambla a sam program održao se u sklopu manifestacije Zadar snova	http://www.ezadar.hr/clanak/zadarski-plesni-ansambl-predstavio-tri-marije-hojehu	Predstava suvremenog plesa
08.08.2011.	Sv. Donat	Zadar snova	MEĐUNARODNI FESTIVAL ZADAR SNOVA (08. -14.08.2011.)  REVIJA KRATKOG FILMA                                                                             Hrvatski kratki film: Što je ljubav  Kurvo! │Red. Sonja Tarokić │2011 │ 25' Nina, molim te │ Red.Barbara Vekarić │ 2010 │ 14' Prvi put │Red.Neven Dužanec │ 2010 │ 5' Room Service │ Red. Neda Radić │ 2011 │ 15' Sretan rođendan, Marija │ Red.Ivana Škrabalo │ 2011 │ 15' Takav ti je život │ Red.Saša Dodik │ 2010 │ 17' 		
09.08.2011.	Sv. Dominik	Zadar snova	MEĐUNARODNI FESTIVAL ZADAR SNOVA (08. -14.08.2011.)          Mini Teater, Ljubljana, Slovenija, Kazalište Hotel Bulić, Zagreb, Hrvatska:  Ma and Al Redatelj Ivica Buljan Izvođači Senka Bulić, Marko Mandić                                                                                                                     Prema tekstovima Bernard-Marie Koltèsa i J. D. Salingera Glazba Mitja Vrhovnik-Smrekar Kostimi Ana Savić-Gecan Scenografija Slaven Tolj Glazbenik Tomislav Vedrina Produkcija Mini Teater, Ljubljana, Slovenija, Kazalište Hotel Bulić, Zagreb, Hrvatska, Trajanje 60'  "Ma and Al" nastaje prema tekstovima Koltèsove drame prvijenca Sallinger (1977) i novelama J. D. Salingera o obitelji Glass. Tri zasebna monologa-perfomansa funkcioniraju kao cjelina u kojoj glumci izmjenično igraju likove iz novele i kazališnog komada.  	http://www.ezadar.hr/clanak/veceras-na-zadru-snova-mini-teater-i-kazaliste-bulic http://www.057info.hr/kultura/2011-08-09/ma-and-al-u-crkvici-sv-dominika 	Novomedijska predstava ??
09.08.2011.	Ul. Borelli 3, Zadar	Zadar snova	MEĐUNARODNI FESTIVAL ZADAR SNOVA (08. -14.08.2011.)  Čehov: Tri sestre, II čin Maškare / III čin Požar (koreodrama, radionica) Red. Kor. Jasna Frankić Brkljačić  		
09.08.2011.	Ul. Borelli 3, Zadar	Zadar snova	MEĐUNARODNI FESTIVAL ZADAR SNOVA (08. -14.08.2011.) Čehov: Tri sestre, IV. čin Sapunica (koreodrama, radionica) Red. Kor. Jasna Frankić Brkljačić 		
09.08.2011.	Sv. Donat	Zadar snova	MEĐUNARODNI FESTIVAL ZADAR SNOVA (08. -14.08.2011.)  REVIJA KRATKOG FILMA                                                                               Hrvatski kratki film: Odlasci   Prva! │ Red. Silva Ćapin │2011 │ 8' Visibabe │Red. Ivica Mušan │ 2010 │ 19' Uspavanka │Red. Jadran Puharić │2010 │ 18' Zima │ Red. Denis Lepur and Marko Stanić │2011 │ 15' Zagorski specijalitet │Red. David Kapac │2011 │4 		
10.08.2011.	Sv. Dominik	Zadar snova	MEĐUNARODNI FESTIVAL ZADAR SNOVA (08. -14.08.2011.) Kraljevsko pozorište Zetski dom, Cetinje, Crna Gora: Rozamunda (postdramsko kazalište) prema Drame princeza: Djevojka i smrt, Elfriede Jelinek Red. Senka Bulić │Perf. Tihana Ćulafić, Marinko Leš Rozamunda je treći dramolet iz ciklusa „Drame princeza“. Glavne uloge igraju Tihana Ćulafić i Marinko Leš, u trajanju od 60 minuta prikazali su svu sirovost i seksualnost svog odnosa. Režiju potpisuje Senka Bulić,a scenografiju Tomislav Ćurković.	http://blog.vecernji.hr/iva/2011/08/12/rozamunda-%E2%80%93-seksualnost-i-nerealizirana-tekstualnost/ http://www.ezadar.hr/clanak/veceras-rozamunda-senke-bulic http://www.benkovacdanas.hr/clanak/kultura/kazaliste/Poigravanje-seksualnim-motivima/402 http://danas.net.hr/kultura/najnoviju-pricu-senke-bulic-ne-biste-trebali-propustiti 	
10.08.2011.	Sv. Donat	Zadar snova	MEĐUNARODNI FESTIVAL ZADAR SNOVA (08. -14.08.2011.)  REVIJA KRATKOG FILMA                                                                            Hrvatski kratki film: Erotske igre  Igra tucanja | Red. Josip Žuvan | 2010 | 7' Igra tucanja | Red. Daina Oniunas Pusić | 2009 | 14' Adieu, N | Red. Barbara Vekarić | 2011 | 14' Zimica | Red. Hana Jušić | 2011 | 10' Mi na suncu | Red. Neda Radić | 2011 | 7' Igra tucanja | Red. David Kapac | 2009 | 6'  Strejt pul | Red. Filip Šovagović | 2011 | 12' Samo smo se poljubili | Red. Kristina Vuković | 2011 | 12' 		
11.08.2011.	Forum Zadar	Zadar snova	MEĐUNARODNI FESTIVAL ZADAR SNOVA (08. -14.08.2011.)    Selma Banich, Zagreb, Hrvatska:  Hrvatica(performans) 	http://www.zadarskilist.hr/clanci/09082011/za-svakog-ponesto	Performans
11.08.2011.	Forum Zadar	Zadar snova	MEĐUNARODNI FESTIVAL ZADAR SNOVA (08. -14.08.2011.)          Via Negativa, Ljubljana, Slovenija:  Miting istine  (javni cabaret, premijera) Aut. Perf. Boris Kadin │Umj. dir. Bojan Jablanovec  U sklopu manifestacije Zadar Snova ispred crkve sv. Donata izveden je performans „Rad Via Negative“. „Miting Istine“ je svojevrsni crni cabaret, posveta svim ovcama zbog kojih smo danas to što jesmo.	http://www.voxportal.hr/vijest/miting-istine-okupio-brojne-posjetitelje/13988.html http://www.zadarskilist.hr/clanci/13082011/kako-je-boris-postao-doris http://www.culturenet.hr/default.aspx?id=39009 	
11.08.2011.	galerija ZadArt	udruga ZadArt / zadarski fotograf Jerolim Vulić	JEROLIM VULIĆ IZLAŽE „OTKRIVANJE“                                                            U prostorijama Udruge „ZadArt“  od 11. kolovoza svoje fotografske radove izlaže zadarski fotograf Jerolim Vulić. Vulić se javnosti predstavlja prvom izložbom u Salima s još četvoricom fotografa okupljenih pod nazivom „5.exe“ čiji je zajednički nazivnik nekonvencionalno izlaganje fotografija. 	http://www.ezadar.hr/clanak/otkrivanje-jerolima-vulica-u-zadartu http://www.zadarskilist.hr/clanci/13082011/otvorena-izlozba-fotografija-jerolima-vulica  	Fotografija
11.08.2011.	Sv. Donat	Zadar snova	MEĐUNARODNI FESTIVAL ZADAR SNOVA (08. -14.08.2011.)     REVIJA KRATKOG FILMA                                                                             Kratki su bitni - Filmovi nominirani za nagradu Europske filmske akademije    Tussilago│Švedska │animacija │2010 │ 14′ Lumikko│ Mala snježna životinja│ Finska│ dokumentarni│ 2009 │ 19′ Venus vs Me│ Venera protiv mene │Belgija │igrani │ 2009 │ 27′ Blijf Bij Me, Weg│ Ostani podalje│ Nizozemska│igrani│2009 │ 24' Rendez Vous A Stella-Plage│ Sastanak u Stella-Plageu│ Francuska│igrani│2009 │ 18′ 		
12.08.2011.	Sv. Dominik	Zadar snova	MEĐUNARODNI FESTIVAL ZADAR SNOVA (08. -14.08.2011.)         Orian Theatre, Pariz, Francuska:  Beckett (fizičko kazalište) prema monodrami “Krappova posljednja vrpca“, Samuela Becketta  Red. Perf. Mehdi Farajpour U crkvi sv.Dominika gostovao je Orien teatar iz Pariza sa predstavom „Krappova posljednja vrpca“ prema djelu 'Krappova posljednja vrpca' majstora drame Nobelovca Samuela Becketta. 	http://www.ezadar.hr/clanak/pariski-orion-teatar-u-zadru-postavlja-becketta http://www.voxportal.hr/vijest/orien-teatar-i-teatar-a-part-zatvorili-festival/14110.html 	
12.08.2011.	Sv. Donat	Zadar snova	MEĐUNARODNI FESTIVAL ZADAR SNOVA (08. -14.08.2011.) , REVIJA KRATKOG FILMA                                                                                 EFA: Kratki su bitni 2  Ampelmann │ Semafor│ Njemačka │igrani │ 2009 │ 14′ María’s Way │ Marijin način │UK, Španjolska│dokumentarni │2009 │ 16′ Itt Vagyok│Evo me │Hungary │igrani│2010 │ 36′ Ønskebørn │ Iz ljubavi│Danska│ dokumentarni│2009 │ 29′ Les Escargots De Joseph │ Josephovi puževi │Francuska │animacija │2009 │ 12′ 		
13.08.2011.	Sv. Dominik	Zadar snova	MEĐUNARODNI FESTIVAL ZADAR SNOVA (08. -14.08.2011.)   Teatar A Part, Katowice, Poljska:  Klepsydra  (fizičko kazalište) Red. Marcin Herich │Koaut. Perf. Monika Wachowicz Teatr A Part stvara autorske projekte metodom vizualnog pripovijedanja. "Klepsydra" je intimni solo u senzibilnoj izvedbi Monike Wachowicz, spoju poezije tijela, gesti i emocija. "Klepsydra" je portret tridesetogodišnje žene, ilustracija boli, patnje i nepodnošljive samoće. Njeno je tijelo tek komad mesa oko beživotnog srca. Njena duša traži svoje utočište među Zaboravljenima.	http://www.monitor.hr/clanci/zadnja-vecer-zadra-snova/160772/ http://www.ezadar.hr/clanak/klepysdra-veceras-u-crkvi-sv-dominika 	
13.08.2011.	Sv. Donat	Zadar snova	MEĐUNARODNI FESTIVAL ZADAR SNOVA (08. -14.08.2011.)    REVIJA KRATKOG FILMA                                                                               EFA: Kratki su bitni 3  Talleres Clandestinos │Austrija, Argentina │igrani│2010 │ 40′ Hanoi - Warszawa │ Hanoi – Varšava│Poljska │igrani│2009 │ 30′ Diarchia │ Dijarhija │ Italija│igrani │2010 │ 20′ Amor │Norveška │ igrani │2009 │ 14′ The External World │ Vanjski svijet │Njemačka │ animacija │2010 │ 15′ 		
13.08.2011.	Trg mudrosti, Diklo	Udruga za promicanje kulture Ružarica Diklo	KONCERT GRUPE BULLEUTHERION                                                      Povodom završetka manifestacije „Dani Dikla“  13.08. koncert je održala metal rock grupa Bulleutherion u organizaciji Udruge za promicanje kulture Ružarica-Diklo.	http://www.ezadar.hr/clanak/pocinju-dani-dikla-2011	Glazba
