Datum	Lokacija	Organizator / Izvođač	Aktivnost (Naziv i kratak opis događaja)	Linkovi	Kategorija
11.02.2011.		otvoreno pismo 	ZAŠTO NISTE ZGRADU ZARAUSHEK DODIJELILI ZADARSKOJ NEZAVISNOJ SCENI                                                                                    Vedran Miočić Stošić oglasio se u petak 11. veljače 2011. u Zadarskom listu člankom o višedesetljetnom sramotnom odnosu gradskih vlasti i o infrastrukturnoj podršci prema nezavisnoj kulturnoj sceni. Iskritiziravši odnos gradske vlasti i šire javnosti za etiketiranje nezavisne scene i sustavno zanemarivanje novih generacija mladih. Usporedio je primjer otetog Doma hrvatske mladeži sa ponovnim otimanjem Zgrade Zaraušek koja je mogla i trebala biti ključ revitalizacije nezavisne scene i osnutka jedinstvenog kulturnog centra  za hrvatske i europske umjetnike. Obrazloženje Grada Zadra da se rušenje više isplati nego obnova  Stošić demantira  postojanjem europskih fondova i natječaja koji upravo financiraju takve vrste projekata   njihovu daljnju produkcijsku  infrastrukturu.	http://www.057info.hr/vijesti/2011-02-09/zasto-niste-zarausek-dali-nezavisnoj-sceni http://www.znet.hr/2011/02/otvoreno-pismo-reakcija-na-rusenje-zgrade-zarausek-u-zadru/ 	aktivizam ?
23.02.2011.	galerija ZadArt	udruga ZadArt / Claudia Kruschel 	IZLOŽBA SLIKA CLAUDIE KRUSCHEL                                                               U galeriji „ZadArt“, izložbenom prostoru istoimene udruge, svečano je otvorena izložba slika Claudie Kruschel. Maja Pavin Radaljac u katalogu izložbe predstavlja djela bez pretenzije s prisustvom egzaktnosti koja je rezultat znanstvenog rada kojim se autorica bavi i od kojeg živi. Claudia Kruschel rođena je 1968. U Njemačkoj, studirala likovnu umjetnost u Oregonu i Miamiu. Od 2008. članica je likovne udruge „ZadArt“.	http://www.zadarskilist.hr/clanci/28022011/kruschel-u-zadru-se-prikazuju-prava-umjetnost-i-kic-pod-istim-krovom	Slikarstvo
03.03.2011.	HNK Zadar	Zadarski plesni ansambl	PLESNA PREDSTAVA ZPA 'MASKERATA'                                             03.03. 2011. u HNK Zadar Zadarski plesni ansambl izveo je plesnu predstavu „Maskerata“ u koreografiji Sanje Petrovski, Lare Stanin, Stošije Zrinski, Marine Ružić, Nikoline Dolfić, Tee Kulaš i Stelle Rončević. Program Ansambla je popularizacija suvremenog plesa i razvoj plesne umjetnosti  kroz pripremanje i izvođenje kazališnih predstava, performansa, tečajeva, radionica i treninga.          Od ove školske godine osnovana je i nova plesna grupa čije su voditeljice Sanja Petrovski, Tea Kulaš i Stella Rončević. Grupu sačinjavaju djeca osnovne i srednje škole. Probe se odvijaju u plesnoj dvorani na Relji	http://www.zadarskilist.hr/clanci/04032011/najbolji-zadarski-plesaci-odusevili-svojim-izvedbama http://www.ezadar.hr/clanak/plesna-vecer-zpa-dalmatinske-sjore-i-gace-na-botune  	Plesna predstava
05.03.2011.	Studentski klub 'Božo Lerotić' Zadar	Šigureca	4. ZADARSKA GITARIJADA                                                                                  2. Kvalifikacijski koncert 'ROCKY 11'                                                        Drugi koncert Gitarijade održao se 5.ožujka 2011. godine pod nazivom ROCKY 11. U žestokoj borbi opisuje Iva Perinčić između Dišpeta, Dirty Harrya, Meshi The Bovich Zoo-a, Single Ladies su ipak svojim debitantskim nastupom oduševili publiku i time osigurali nastup na finalu Zadarske gitarijade 2011.Užarenu atmosferu do usijanja doveli su energični Erotic Biljan & His Heretics.	http://www.057info.hr/zabava/2011-03-02/zadarska-gitarijada-rocky-11 http://www.voxportal.hr/vijest/u-finalu-gitarijade-sedam-bendova/5546.html  	Glazba (koncert)
06.03.2011.	Poreč, Festival smijeha 'Zlatni zub'	Dragon teatar	DRAGON TEATAR NA FESTIVAL SMIJEHA ODLAZI S BUŽOM Tijekom proteklog ljeta  Samostalni kazališni likovi iz Zadra, sad već ujedinjeni u novo osnovanoj umjetničkoj organizaciji “Dragon teatar“ gostuju 6.ožujka u Poreču na festivalu smijeha „Zlatni zub“. Predstava je rađena prema farsi Živka Jeličića, a uloge tumače Mimi Zadarski, Miro Pucar i Vinko Radovčić. Režiju potpisuje umjetnička voditeljica  Maja Šimić.	http://porec.mobi/prva.asp?clanak=28741  	Kazalište
11.03.2011.	5 različitih lokacija u gradu	Šigureca	PROJEKT „RAKURS 5“                                                                                  'Rakurs 5' je projekt udruge Šigureca koja se bavi razvojem nezavisne kulture te stavlja poseban naglasak na kreativnu misao, ideje i djelovanja. 2011. godine natjecanje se odvija na temu „Interakcija s prostorom“: Ekspresija tijelom, fobije, Hitchock Hommage, Pin-up 21.st, Smijehom ulicamagrada, Stručni žiri, koji se sastoji od troje fotografa izabire pet umjetnika, čiji će radovi biti izloženi na interaktivnoj video-izložbi na ulicama Zadra.	http://www.ezadar.hr/clanak/rakurs-5-tijelo-kao-medij http://www.ezadar.hr/clanak/u-petak-otvorenje-izlozbe-ekspresija-tijelom-tijelo-kao-medij-rakursa-5 	Fotografija / Mutlimedija
11.03.2011.	Arsenal Zadar	udruga Zadar Fashion u suradnji s udrugom Eko Zadar	EKO REVIJA ZADAR FASHION                                                                      Arsenal je 11.ožujka ugostio neobičnu modnu reviju pod nazivom Eko revija Zadar Fashion. Organizator revije je „Zadar Fashion“ u suradnji s Udrugom „Eko-Zadar“ s ciljem promocije spoja mode i ekologije	http://www.057info.hr/zabava/2011-03-11/zadar-fashion-eko-revija http://www.voxportal.hr/vijest/odrzana-zadar-fashion-eko-revija/6100.html http://www.zadarskilist.hr/clanci/14032011/modnom-revijom-upozorili-na--oneciscenje-rijeka-zrmanje-i-une http://www.ezadar.hr/clanak/ozujak-u-arsenalu 	Moda
23.03.2011.	Atelje Benini	ZAPIS	ZAPIS UGOSTIO IVANA GAĆINU I ŽELIMIRA PERIŠU                          Atelje Benini ugostio je 23.03.2011. još jednu književnu večer Udruge zadarskih pisaca „ZaPis“. Ova večer bila je svojevrsni finale piše Valentina Mlađen, pred manifestaciju Gradske knjižnice Zadar „Zadar čita“ za vrijeme koje će ZaPisovci nastupiti u nekoliko knjižnica Zadarske županije.Uz uobičajene članove ZaPisa Mario Padelin, Tihana Gambiraža, Andrea Malta,Robert Nezirović Igor Eškinja i Ivan Boško Habuš, predstavila su se i dva gosta, mladi neafirmirani zadarski pisci, pjesnik Ivan Gaćina te pjesnik i prozaist Želimir Periš, poznat po svojim lego stripovima.Slijedeći mjesec ZaPisovci će nastupiti u Novigradu, Domu za stare i nemoćne u Zadru, Benkovcu i Sv. Filipu i Jakovu.	http://www.zadarskilist.hr/clanci/11032011/zapis-ugostio-ivana-gacinu-i-zelimira-perisa	Književnost
26.03.2011.	 Callegro	Kreativni studio  Lumiere media	LUMIERE FILM FESTIVAL                                                                        26.ožujka, prvi put se održao Festival kratkoga filma u Zadru- Lumiere film festival u Callegru. Organizator je Lumiere media  a na festivalu će se prikazati deset kratkometražnih filmova iz raznih dijelova svijeta, različitih žanrova među kojima su i dva iz Zadra. Premijerno će se prikazati i film „Riječ jednog prolaznika“ u proizvodnji Lumiere media koja djeluje od 2009. Godine i okuplja mlade kreativce do 18 godina na području Zadra i Karlovca te realiziraju projekte u širokom spektru medijskih umjetnosti	http://www.znet.hr/2011/01/lumierovci-imaju-novi-film-maske/	Film          (kratkometražni film)
02.04.2011. (nisam sigurna)	Meštrović dvor na Zadarskom Bokanjcu	KUD 'Bleke i konji'	„NOCTURNO“ U IZVEDBI KUD-A BLEKE I KONJI                                   Zadrani su izvedbu Nocturna mogli pogledati prošlog ljeta tijekom manifestacije Zadar snova. Predstava je govorila o životu i događanjima u posljednjih 100 godina kroz četiri države. „Nocturno“ će ovog puta biti izveden u Meštrovića dvorima vjerojatno u nekom novom ruhu.	http://www.slobodnadalmacija.hr/Kultura/tabid/81/articleType/ArticleView/articleId/148824/Default.aspx http://www.zadarskilist.hr/clanci/02042011/nocturno-otvara-kazaliste-lutaka - 02.04.2011. 	Kazališna predstava ?
15.04. - 22.04.2011.	izložbena dvorana Državnog arhiva u Zadru 	Fotografska udruga 'Fotogard'	FOTOGARD' PREDSTAVLJA RADOVE 30 FOTOGRAFA                        15. travnja 2011. u Izložbenoj dvorani Državnog arhiva u Zadru održat će se svečano otvorenje prve zajedničke izložbe fotografija članova fotografske udruge Fotogard. Udruga je počela djelovati prije osam mjeseci i ovo je prvi javni projekt u kojem želi promovirati rad svojih članova. Ista izložba je bila postavljena u Zagrebu, a nakon Zadra će gostovati u Šibeniku i Sisku i Rovinju.	http://057info.hr/kultura/2011-04-12/fotogard-izlaze-u-zadru	Fotografija 
16.04.2011.	polukružna dvorana Teatra &td / Test Festival	Teatro VeRRdi u suradnji sa novomedijskom galerijom i Mavenom	EU PIONIR' U ZAGREBU                                                                                      U sklopu studentskog festivala Test 16. travnja 2011. gostovao je  je Teatro VeRRdi u suradnji sa novomedijskom galerijom i Mavenom sa projektom „EU pionir“ glazbenim performansom koji uspostavlja korelaciju između  ulaska u EU, nacionalne memorije kolektivnog identiteta i standarda produkcije umjetničkih djela unutar i izvan EU.	http://www.ezadar.hr/clanak/eu-pionir-na-testu-u-zagrebackom-itd-u http://testzg.weebly.com/teatar--theatre.html http://test.hr/arhiva-archive/test-2012/  	Glazbeni performans
